Models,layer,accuracy,f1,freq_diff
,13,0.9567671430287018,0.9235019124521888,0.0576752440106478
,14,0.9594091509547256,0.9272805507745266,0.0807453416149068
,15,0.9594091509547256,0.927405498281787,0.0700976042590949
,16,0.9555662303350546,0.9207029575653664,0.0692102928127772
,17,0.9550858652575958,0.920729122509538,0.0550133096716947
,18,0.952443857331572,0.9151670951156812,0.0798580301685891
,19,0.9559265041431488,0.9220641325122106,0.0647737355811889
,20,0.9535246787558544,0.91736066623959,0.0780834072759538
,21,0.949921940674913,0.9112954690491384,0.0851818988464951
,22,0.954965773988231,0.9199231262011532,0.0692102928127773
,23,0.9559265041431488,0.9211600429645542,0.0780834072759538
,24,0.952083583523478,0.915268634529624,0.0736468500443656
,25,0.9475201152876186,0.9081739861315402,0.0700976042590949
,26,0.95112285336856,0.9140443505807814,0.0638864241348713
,27,0.9514831271766544,0.9144430326132994,0.0683229813664596
,28,0.9433169208598536,0.8987993138936535,0.1118012422360248
,29,0.9457187462471478,0.902712010331468,0.1144631765749778
,30,0.9423561907049356,0.8970840480274442,0.1118012422360248
,31,0.9431968295904888,0.8983014405504193,0.1109139307897072
,32,0.941395460550018,0.8964346349745331,0.1029281277728483
,33,0.9458388375165124,0.9046713168463328,0.085181898846495
,34,0.946439293863336,0.9061052631578947,0.0798580301685891
,35,0.9470397502101596,0.9052224371373307,0.1047027506654836
Llama-3.2-1B,0,0.7260718145790801,0.613586312044723,0.1055900621118012
,1,0.8835114687162243,0.8012295081967213,0.1712511091393079
,2,0.9237420439534044,0.8661184904069155,0.1455190771960958
,3,0.949441575597454,0.9102536772543168,0.0967169476486246
,4,0.9607301549177376,0.9280844512865626,0.1064773735581188
,5,0.959649333493455,0.9263803680981596,0.1100266193433895
,6,0.9625315239582084,0.9316987740805605,0.0940550133096717
,7,0.9616908850726552,0.9310866277813784,0.0754214729370008
,8,0.9564068692206076,0.9217503772364734,0.0834072759538597
,9,0.9608502461871022,0.929192006950478,0.0842945874001773
,10,0.954965773988231,0.918918918918919,0.087843833185448
