Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
,22,,0.9594895018526144,0.959122632103689,0.1113735191032528,0.4847698132536151
,23,,0.9590778097982708,0.9587175014536092,0.1081839415112059,0.4718058879453664
,24,,0.9563606422396048,0.9558848010654236,0.1033517574688575,0.4132992244893407
,25,,0.9557019349526554,0.9553749170537492,0.1241318294714408,0.5371778921221191
,26,,0.954549197200494,0.9542667771333886,0.1216012951981871,0.5221840736874404
,27,,0.954549197200494,0.9542440318302388,0.124808479290554,0.5315315477552303
,28,,0.953067105804858,0.9528379943736556,0.1235256056536072,0.527803658034244
,29,,0.9496088925483738,0.9491694352159468,0.1358009377062011,0.5456359339948844
,30,,0.9496088925483738,0.9493796526054592,0.1357305117049214,0.5590302540788952
,31,,0.9514203375874846,0.9511508527901972,0.1293689630211473,0.5307781486176548
,32,,0.9504322766570604,0.9499501163950782,0.1396847716176812,0.5501338588580307
,33,,0.9505146150679292,0.9500789102084892,0.1358537572071609,0.5365636803188933
,34,,0.951585014409222,0.951089668940276,0.1250549702950328,0.4900355461185652
,35,,0.948044462741869,0.9473859751521722,0.1310391796651323,0.4798552644643594
Llama-3.1-8B,0,mean_pool,0.8623301770275834,0.8566529492455418,0.3216187416394133,0.8036545500615884
,1,,0.9112391930835736,0.909866220735786,0.2273603414380589,0.7054074014146039
,2,,0.9435158501440922,0.9432401125268908,0.1423033383925345,0.548471650389903
,3,,0.9694524495677234,0.9694625072022388,0.0899067935881927,0.4995882707428558
,4,,0.976780568135035,0.9767441860465116,0.0529499491212155,0.2934570117334596
,5,,0.9794153972828324,0.9794475501479776,0.0520268082976234,0.3714027675470284
,6,,0.9818032111980238,0.9818181818181818,0.0462890899320028,0.3287376559985353
,7,,0.984273363524084,0.9842318170560554,0.0444704184785023,0.286662187815013
,8,,0.982544256895842,0.9825341901466468,0.0456476531135295,0.3257864433208115
,9,,0.9846027171675586,0.9846153846153848,0.0379504112918489,0.2888353014883495
,10,,0.9824619184849732,0.9824936303114984,0.0399275412482288,0.2801192345685845
,11,,0.984767393989296,0.9847422680412372,0.0469305267504762,0.3316710006729613
,12,,0.9846850555784272,0.9846509324971118,0.0450766422963357,0.2988925499806081
,13,,0.9834499794153972,0.983474471758612,0.0417990322026892,0.3076831037659504
,14,,0.9854261012762454,0.9854164950152426,0.0284697110173075,0.2010153614875096
,15,,0.98205022643063,0.9820812099293112,0.0374146134752951,0.2537728555444287
,16,,0.9826265953067106,0.9825691862866583,0.0426517470250016,0.2561856271832692
,17,,0.9818032111980238,0.981743081371334,0.0477656350724687,0.2817014577544388
,18,,0.9785920131741458,0.9785620052770448,0.0522028733008226,0.3116823385735618
,19,,0.9802387813915192,0.9801980198019802,0.0427397795266012,0.2423852968450073
,20,,0.9806504734458624,0.9806281427747094,0.0463947289339224,0.2952581578035476
,21,,0.9743104158089748,0.974451359318703,0.0477304220718288,0.2887581219459387
,22,,0.9750514615067928,0.9750350168905,0.0504194148479618,0.277269239514899
,23,,0.9743927542198436,0.9744348540896012,0.0465707939371216,0.2613346245524868
,24,,0.975298476739399,0.9753208292201382,0.0490837217100553,0.2806898421801946
,25,,0.9759571840263483,0.9760144570395926,0.0414392993893345,0.2393276081245039
,26,,0.9759571840263483,0.9759710335747204,0.0490837217100553,0.2806898421801946
,27,,0.9752161383285304,0.9751834446368208,0.0504370213482817,0.2745779900081686
,28,,0.9740634005763688,0.9740975248745992,0.053556172939049,0.3023896076894519
,29,,0.9757101687937424,0.975750102753802,0.0503489888466821,0.2892059877718829
,30,,0.9764512144915604,0.9764531533014984,0.0529147361205756,0.2997776565967727
,31,,0.9723342939481268,0.9723547803192364,0.0606471909428961,0.3237816770319752
Llama-3.1-8B,0,last_token,0.8098806093042404,0.8000692700666724,0.4402769502500323,1.008185069166638
,1,,0.9072869493618774,0.904802164355766,0.2704598537780148,0.7870416322191562
,2,,0.9478797859201318,0.9471045374780648,0.1722395908569444,0.6687300645031677
,3,,0.9719226018937834,0.9718344759230196,0.0880529091340522,0.4660923009332944
,4,,0.978262659530671,0.9783464566929134,0.0571583028454104,0.3935256661927786
,5,,0.9824619184849732,0.9825538537144728,0.0372561549724158,0.3116921320208359
,6,,0.9826265953067106,0.9826750964775434,0.0411752018845357,0.2978592942873157
,7,,0.985014409221902,0.9849958779884584,0.043081905839636,0.3137955974367385
,8,,0.9832029641827912,0.9832759468765372,0.0340841838806886,0.2764393458209842
,9,,0.9843557019349528,0.9843929686216528,0.039162858927516,0.3341464628200765
,10,,0.9841086867023466,0.9841556522453,0.039162858927516,0.3341464628200765
,11,,0.9858377933305889,0.9858296259680344,0.0386270611109621,0.2793879845831202
,12,,0.98575545491972,0.9857648317287911,0.0360261008364288,0.2790995231183197
,13,,0.9855907780979828,0.9855978931775162,0.0379328047915289,0.2962938250502098
,14,,0.985261424454508,0.985258996952977,0.0392508914291156,0.2885346309878391
,15,,0.98328530259366,0.983362019506598,0.0334427470622152,0.2730359895406793
,16,,0.9829559489501852,0.9830174747723356,0.0334779600628551,0.2593113922173855
,17,,0.9812268423219432,0.9813084112149532,0.0366675376549021,0.2823693519169019
,18,,0.9811445039110746,0.9812156508900008,0.0417990322026892,0.3076831037659504
,19,,0.9811445039110746,0.9812187320593784,0.039892328247589,0.2916642504508688
,20,,0.9811445039110746,0.981212568709492,0.0399275412482288,0.2801192345685845
,21,,0.9811445039110746,0.9811507119927566,0.0463419094329626,0.3099215878571604
,22,,0.9808151502675998,0.9808277791491812,0.0431523318409157,0.2900921704998067
,23,,0.9799917661589131,0.979955456570156,0.0432931838434749,0.2590186566484447
,24,,0.9814738575545492,0.9814677538917717,0.0412808408864553,0.2678696080148501
,25,,0.9818032111980238,0.9818181818181818,0.0463243029326426,0.3156163669182592
,26,,0.9808151502675998,0.9807103237022932,0.0598472956215434,0.3566201671653326
,27,,0.9805681350349938,0.9804700430321086,0.0516318624836289,0.294516983869463
,28,,0.9803211198023878,0.9803921568627452,0.0545573425708771,0.4063109225023651
