Models,layer,accuracy,f1,auc,n_matched_pairs
,9,0.8909905425584869,0.8893939393939394,0.9595196429407636,13391
,10,0.8959681433549029,0.8941236068895644,0.9613845708250156,13391
,11,0.9034345445495272,0.9023653749370912,0.965617389740196,13391
,12,0.9118964659034344,0.9106060606060606,0.9674340034305556,13391
,13,0.9148830263812844,0.9149253731343284,0.9698957974332032,13391
,14,0.8977103036336486,0.8984432913269088,0.9659516248558936,13391
,15,0.9079143852663016,0.9072216649949848,0.9658507844614612,13391
,16,0.919113987058238,0.9190535491905356,0.9725823143787254,13391
,17,0.917869586859134,0.9172932330827068,0.9740841425134926,13391
,18,0.9196117471378796,0.9184549356223176,0.9733545981857156,13391
,19,0.9173718267794922,0.9174129353233832,0.9741481897910376,13391
,20,0.9121453459432554,0.9126885975760574,0.9710964670927068,13391
,21,0.9176207068193132,0.9178863805507318,0.9733672342056564,13391
,22,0.9168740666998508,0.9165,0.972963872627928,13391
,23,0.9089099054255848,0.9085914085914086,0.9685982516208174,13391
,24,0.9011946241911398,0.9018055899084838,0.966494725948265,13391
,25,0.9001991040318567,0.9014015244652076,0.964715772552632,13391
,26,0.8989547038327527,0.8997035573122529,0.9651292924993328,13391
,27,0.9004479840716775,0.9002991026919243,0.963022545880521,13391
,28,0.9029367844698856,0.9023046092184368,0.962891478144269,13391
,29,0.8934793429566948,0.8928928928928929,0.9589165826949458,13391
,30,0.8787954206072673,0.87924621869576,0.9524870784307846,13391
,31,0.8775510204081632,0.8756319514661274,0.9487260042600728,13391
