Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
,19,0.9528718703976436,0.9570522205954124,0.949636803874092,0.9533300923675256,0.989461708028159,13768,13391
,20,0.9484536082474226,0.9508993680116676,0.9472154963680388,0.9490538573508006,0.9872014192791037,13768,13391
,21,0.9545900834560628,0.956754130223518,0.9535108958837772,0.95512975988358,0.9888442685879644,13768,13391
,22,0.953853706431026,0.960726558664703,0.9476997578692494,0.954168698196002,0.988588639258928,13768,13391
,23,0.9555719194894452,0.9604105571847508,0.9515738498789348,0.9559717830211628,0.9891355727314254,13768,13391
,24,0.9518900343642612,0.9551875304432538,0.949636803874092,0.9524040796503156,0.9891657034868516,13768,13391
,25,0.9570446735395188,0.9582929194956352,0.9569007263922518,0.9575963169372426,0.9897028745945906,13768,13391
,26,0.9521354933726068,0.952127659574468,0.9535108958837772,0.9528187757077184,0.9894768939288938,13768,13391
,27,0.9531173294059893,0.9522200772200772,0.9554479418886198,0.9538312787043752,0.9871111475358466,13768,13391
,28,0.95139911634757,0.9520581113801452,0.9520581113801452,0.9520581113801452,0.9873407438921944,13768,13391
,29,0.953853706431026,0.9509851033157136,0.9583535108958838,0.9546550892426436,0.9872262470215748,13768,13391
,30,0.9560628375061364,0.957766990291262,0.9554479418886198,0.9566060606060606,0.9894296489043852,13768,13391
,31,0.9479626902307314,0.9653440482169764,0.9307506053268764,0.9477317554240632,0.9882383993578532,13768,13391
,32,0.9474717722140402,0.9499270782693242,0.9462469733656176,0.9480834546336728,0.9866901606210312,13768,13391
,33,0.9361806578301424,0.9426189308484552,0.9307506053268764,0.9366471734892788,0.9830052897554228,13768,13391
,34,0.9405989199803632,0.9397009165460684,0.9433414043583536,0.9415176413726438,0.9831833022584808,13768,13391
,35,0.936426116838488,0.934971098265896,0.9399515738498788,0.9374547210818645,0.9809397662094428,13768,13391
SmolLM3-3B-Base,0,0.7800687285223368,0.8039521580863235,0.7486682808716707,0.7753259779338014,0.8672646215516857,13768,13391
,1,0.8956799214531174,0.9128902316213494,0.8779661016949153,0.8950876326832881,0.9585376700730488,13768,13391
,2,0.9263622974963182,0.9523321373654536,0.8997578692493947,0.9252988047808764,0.9791287872853032,13768,13391
,3,0.9396170839469808,0.9572649572649572,0.9220338983050848,0.9393191909225456,0.9821464427027528,13768,13391
,4,0.9509081983308788,0.9623202776400596,0.9399515738498788,0.9510044096031356,0.9850782857287484,13768,13391
,5,0.9477172312223858,0.9503891050583656,0.9462469733656176,0.94831351613686,0.9862570008810232,13768,13391
,6,0.9504172803141876,0.9524040796503156,0.949636803874092,0.9510184287099904,0.9880452009540602,13768,13391
,7,0.9506627393225332,0.946360153256705,0.9569007263922518,0.9516012521069108,0.9884582333494432,13768,13391
,8,0.9540991654393716,0.9616519174041298,0.9472154963680388,0.9543791168577702,0.9906801957775964,13768,13391
,9,0.9567992145311732,0.960058451047248,0.9544794188861986,0.95726080621661,0.9913233066214142,13768,13391
,10,0.9506627393225332,0.9613861386138614,0.9404358353510897,0.9507955936352508,0.9892476591416108,13768,13391
,11,0.95139911634757,0.9538162372386972,0.9501210653753026,0.9519650655021834,0.9900315408747802,13768,13391
,12,0.9585174275895926,0.954458293384468,0.9641646489104116,0.9592869188147436,0.9915515772245236,13768,13391
,13,0.9587628865979382,0.9683950617283952,0.949636803874092,0.9589242053789732,0.9915416943367438,13768,13391
,14,0.9580265095729014,0.9637610186092068,0.9530266343825666,0.95836376917458,0.9905712429659752,13768,13391
,15,0.9567992145311732,0.964127764127764,0.9501210653753026,0.9570731707317072,0.9906522344365608,13768,13391
,16,0.9540991654393716,0.9643916913946587,0.9443099273607748,0.9542451676046,0.991586528900818,13768,13391
,17,0.9585174275895926,0.9597478176527644,0.9583535108958838,0.9590501574993944,0.9914050212301304,13768,13391
,18,0.9585174275895926,0.9562078922040425,0.962227602905569,0.95920830316196,0.991003197475766,13768,13391
,19,0.9570446735395188,0.9739217652958876,0.9404358353510897,0.9568859324956884,0.9925169666283804,13768,13391
,20,0.9555719194894452,0.9686567164179104,0.9428571428571428,0.9555828220858896,0.992203365725904,13768,13391
,21,0.9599901816396662,0.971258671952428,0.9491525423728814,0.9600783737447957,0.9922944811303132,13768,13391
,22,0.960726558664703,0.9727047146401984,0.9491525423728814,0.9607843137254902,0.9917911769916732,13768,13391
,23,0.9555719194894452,0.961764705882353,0.9501210653753026,0.9559074299634592,0.9901332623050992,13768,13391
,24,0.9592538046146294,0.9688888888888888,0.9501210653753026,0.9594132029339854,0.9906168006681796,13768,13391
,25,0.956308296514482,0.9663865546218487,0.946731234866828,0.9564579256360078,0.9897738626543752,13768,13391
,26,0.955081001472754,0.9585769980506824,0.952542372881356,0.9555501578819529,0.9896359843175444,13768,13391
,27,0.9536082474226804,0.9607072691552064,0.9472154963680388,0.9539136795903438,0.9902974146606616,13768,13391
,28,0.9553264604810996,0.9594924353343094,0.9520581113801452,0.9557608167233836,0.988934299285178,13768,13391
,29,0.9511536573392244,0.9560117302052786,0.9472154963680388,0.9515932863050351,0.9886520343683448,13768,13391
,30,0.950171821305842,0.9572691552062867,0.9438256658595642,0.9504998780785174,0.9883025176054004,13768,13391
,31,0.9518900343642612,0.9601181683899556,0.9443099273607748,0.9521484375,0.9893139468035486,13768,13391
,32,0.9518900343642612,0.9660847880299251,0.9380145278450364,0.9518427518427518,0.9882885369348826,13768,13391
,33,0.9496809032891508,0.9590325765054294,0.9409200968523004,0.94989000244439,0.9886059945740536,13768,13391
,34,0.948944526264114,0.9607940446650124,0.9375302663438256,0.9490196078431372,0.988084129890071,13768,13391
,35,0.940108001963672,0.9400676655389076,0.9418886198547216,0.9409772617319788,0.9850982925503516,13768,13391
Llama-3.2-1B,0,0.8379970544918999,0.8597030209933436,0.8130750605326876,0.8357391737182678,0.9194608523147048,13768,13391
,1,0.9165439371624938,0.9448169159360496,0.8871670702179176,0.9150849150849152,0.9714001279954492,13768,13391
,2,0.9420716740304368,0.9630379746835444,0.9210653753026634,0.9415841584158416,0.9850802140970956,13768,13391
,3,0.9558173784977908,0.961783439490446,0.9506053268765132,0.9561617145640526,0.9910838273772864,13768,13391
,4,0.960726558664703,0.971301335972291,0.9506053268765132,0.9608418991678904,0.9917101855210874,13768,13391
,5,0.9565537555228276,0.9724724724724724,0.9409200968523004,0.9564361309377308,0.9919353225256322,13768,13391
,6,0.9631811487481592,0.974714923153198,0.9520581113801452,0.9632533072023518,0.992361974022468,13768,13391
,7,0.9599901816396662,0.9598646034816248,0.9612590799031476,0.96056133559158,0.9929315658230456,13768,13391
,8,0.9634266077565048,0.9723865877712032,0.9549636803874092,0.963596384070364,0.9916484777339744,13768,13391
,9,0.9656357388316152,0.9786176031824962,0.9530266343825666,0.9656526005888124,0.9921754043848688,13768,13391
,10,0.959499263622975,0.9647749510763208,0.9549636803874092,0.959844244341689,0.9919015760795548,13768,13391
,11,0.9555719194894452,0.9631268436578172,0.9486682808716708,0.9558428885093926,0.991261357788258,13768,13391
,12,0.9575355915562102,0.9697120158887784,0.9457627118644067,0.9575876440303996,0.991654262839016,13768,13391
,13,0.9590083456062838,0.9642857142857144,0.9544794188861986,0.959357507909467,0.9912648529558872,13768,13391
,14,0.9592538046146294,0.965669445806768,0.9535108958837772,0.959551656920078,0.9918651781269998,13768,13391
,15,0.9560628375061364,0.9668316831683168,0.9457627118644067,0.9561811505507956,0.9903827449600284,13768,13391
