Models,layer,accuracy,f1_macro,chance
,9,0.7625555738514738,0.761570155646663,0.3333333333333333
,10,0.7581096657335749,0.75775653228823,0.3333333333333333
,11,0.7488885229705253,0.7481998082769942,0.3333333333333333
,12,0.7541577474065536,0.7541039993455407,0.3333333333333333
,13,0.7518524617157912,0.7508719920302708,0.3333333333333333
,14,0.7498765025522806,0.7488872805351465,0.3333333333333333
,15,0.7423019924254899,0.7416419437283678,0.3333333333333333
SmolLM2-360M,0,0.4706076074427795,0.4691001671117174,0.3333333333333333
,1,0.5789560349086119,0.5754014238992032,0.3333333333333333
,2,0.6216038201877161,0.6173543528373389,0.3333333333333333
,3,0.6357648608595422,0.6311545703562814,0.3333333333333333
,4,0.6466326362588507,0.6424186329703437,0.3333333333333333
,5,0.6556891157582744,0.652080047982078,0.3333333333333333
,6,0.6599703606125473,0.6561506237038279,0.3333333333333333
,7,0.6678741972665898,0.6653603064560308,0.3333333333333333
,8,0.6665568911575828,0.6637772680314603,0.3333333333333333
,9,0.6719907788572369,0.6691400060331145,0.3333333333333333
,10,0.6714967890663593,0.6684562008478302,0.3333333333333333
,11,0.6723201053844887,0.6691854804325884,0.3333333333333333
,12,0.6831878807837971,0.6806887036596073,0.3333333333333333
,13,0.6818705746747901,0.680030833479678,0.3333333333333333
,14,0.6874691256380702,0.6856763695769962,0.3333333333333333
,15,0.6866458093199407,0.6845685930607918,0.3333333333333333
,16,0.6902684011197102,0.6881542160846696,0.3333333333333333
,17,0.6896097480652067,0.6875376929786589,0.3333333333333333
,18,0.6849991766836818,0.6829952404983993,0.3333333333333333
,19,0.6845051868928043,0.6828466965428569,0.3333333333333333
,20,0.6882924419561995,0.6861162923633506,0.3333333333333333
,21,0.6947143092376091,0.6925341413881131,0.3333333333333333
,22,0.6932323398649761,0.6908698899268724,0.3333333333333333
,23,0.6856578297381855,0.6836918989361184,0.3333333333333333
,24,0.6884571052198255,0.6869315769975332,0.3333333333333333
,25,0.6779186563477688,0.6758999735896887,0.3333333333333333
,26,0.6782479828750205,0.6763518818981948,0.3333333333333333
,27,0.6769306767660135,0.674600590452739,0.3333333333333333
,28,0.6761073604478841,0.6732861160912927,0.3333333333333333
,29,0.6744607278116252,0.6717589372025548,0.3333333333333333
,30,0.6606290136670508,0.657386051244257,0.3333333333333333
,31,0.6586530545035403,0.6556807355711404,0.3333333333333333
